"エクスポージャー群ID","正規エクスポージャーID","元エクスポージャーID","候補ID","取引手段ID","エクスポージャー名_日本語","エクスポージャー名_英語","資産クラス","リスク群","代替グループID","直接または代替","代替関係","取引手段種別","シンボル","取引所またはVenue","Broker","Gate状態","証拠信頼度","証拠ID一覧","取引手段差分メモ","P06追跡メモ","作成日時","更新日時"
"CLU-EXP-EQ-JP-NIKKEI225","EXP-EQ-JP-NIKKEI225","EXP-EQ-JP-NIKKEI225","CAN-EXP-EQ-JP-NIKKEI225-NK225MC-IBSJ","VEH-NK225MC","日経225","Nikkei 225","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","NK225MC","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-JP-TOPIX","EXP-EQ-JP-TOPIX","EXP-EQ-JP-TOPIX","CAN-EXP-EQ-JP-TOPIX-TOPIX-IBSJ","VEH-TOPIX","TOPIX","TOPIX","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","TOPIX","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-EQ-JP-TOPIX","EXP-EQ-JP-TOPIX","EXP-EQ-JP-TOPIX","CAN-EXP-EQ-JP-TOPIX-MTOPIX-IBSJ","VEH-MTOPIX","TOPIX","TOPIX","株価指数","再構成リスク群","PG-株価指数","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","ミニ先物","MTOPIX","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-EURUSD","EXP-FX-G10-EURUSD","EXP-FX-G10-EURUSD","CAN-EXP-FX-G10-EURUSD-6E-IBSJ","VEH-6E","ユーロ米ドル","EUR/USD","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","6E","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-EURUSD","EXP-FX-G10-EURUSD","EXP-FX-G10-EURUSD","CAN-EXP-FX-G10-EURUSD-M6E-IBSJ","VEH-M6E","ユーロ米ドル","EUR/USD","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","M6E","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-USDJPY","EXP-FX-G10-USDJPY","EXP-FX-G10-USDJPY","CAN-EXP-FX-G10-USDJPY-6J-IBSJ","VEH-6J","米ドル円","USD/JPY","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","6J","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-USDJPY","EXP-FX-G10-USDJPY","EXP-FX-G10-USDJPY","CAN-EXP-FX-G10-USDJPY-MJY-IBSJ","VEH-MJY","米ドル円","USD/JPY","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MJY","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-GBPUSD","EXP-FX-G10-GBPUSD","EXP-FX-G10-GBPUSD","CAN-EXP-FX-G10-GBPUSD-6B-IBSJ","VEH-6B","英ポンド米ドル","GBP/USD","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","6B","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-GBPUSD","EXP-FX-G10-GBPUSD","EXP-FX-G10-GBPUSD","CAN-EXP-FX-G10-GBPUSD-M6B-IBSJ","VEH-M6B","英ポンド米ドル","GBP/USD","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","M6B","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-AUDUSD","EXP-FX-G10-AUDUSD","EXP-FX-G10-AUDUSD","CAN-EXP-FX-G10-AUDUSD-6A-IBSJ","VEH-6A","豪ドル米ドル","AUD/USD","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","6A","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-FX-G10-AUDUSD","EXP-FX-G10-AUDUSD","EXP-FX-G10-AUDUSD","CAN-EXP-FX-G10-AUDUSD-M6A-IBSJ","VEH-M6A","豪ドル米ドル","AUD/USD","為替","再構成リスク群","PG-為替","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","M6A","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-GLOBAL-GOLD","EXP-METAL-GLOBAL-GOLD","EXP-METAL-GLOBAL-GOLD","CAN-EXP-METAL-GLOBAL-GOLD-GC-IBSJ","VEH-GC","金","Gold","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","GC","COMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-GLOBAL-GOLD","EXP-METAL-GLOBAL-GOLD","EXP-METAL-GLOBAL-GOLD","CAN-EXP-METAL-GLOBAL-GOLD-MGC-IBSJ","VEH-MGC","金","Gold","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MGC","COMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-GLOBAL-SILVER","EXP-METAL-GLOBAL-SILVER","EXP-METAL-GLOBAL-SILVER","CAN-EXP-METAL-GLOBAL-SILVER-SI-IBSJ","VEH-SI","銀","Silver","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","SI","COMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-GLOBAL-SILVER","EXP-METAL-GLOBAL-SILVER","EXP-METAL-GLOBAL-SILVER","CAN-EXP-METAL-GLOBAL-SILVER-SIL-IBSJ","VEH-SIL","銀","Silver","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","SIL","COMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-GLOBAL-COPPER","EXP-METAL-GLOBAL-COPPER","EXP-METAL-GLOBAL-COPPER","CAN-EXP-METAL-GLOBAL-COPPER-HG-IBSJ","VEH-HG","銅","Copper","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","HG","COMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-GLOBAL-COPPER","EXP-METAL-GLOBAL-COPPER","EXP-METAL-GLOBAL-COPPER","CAN-EXP-METAL-GLOBAL-COPPER-MHG-IBSJ","VEH-MHG","銅","Copper","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MHG","COMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-JP-GOLD","EXP-METAL-JP-GOLD","EXP-METAL-JP-GOLD","CAN-EXP-METAL-JP-GOLD-GOLDSTD-IBSJ","VEH-GOLDSTD","日本金","Japan Gold","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","GOLDSTD","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-JP-GOLD","EXP-METAL-JP-GOLD","EXP-METAL-JP-GOLD","CAN-EXP-METAL-JP-GOLD-GOLDMINI-IBSJ","VEH-GOLDMINI","日本金","Japan Gold","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","ミニ先物","GOLDMINI","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-JP-GOLD","EXP-METAL-JP-GOLD","EXP-METAL-JP-GOLD","CAN-EXP-METAL-JP-GOLD-POCKETGOLD100-IBSJ","VEH-POCKETGOLD100","日本金","Japan Gold","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","POCKETGOLD100","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-JP-PLATINUM","EXP-METAL-JP-PLATINUM","EXP-METAL-JP-PLATINUM","CAN-EXP-METAL-JP-PLATINUM-PLATSTD-IBSJ","VEH-PLATSTD","日本白金","Japan Platinum","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","PLATSTD","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-METAL-JP-PLATINUM","EXP-METAL-JP-PLATINUM","EXP-METAL-JP-PLATINUM","CAN-EXP-METAL-JP-PLATINUM-PLATMINI-IBSJ","VEH-PLATMINI","日本白金","Japan Platinum","金属","再構成リスク群","PG-金属","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","ミニ先物","PLATMINI","OSE","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-ENERGY-US-WTI","EXP-ENERGY-US-WTI","EXP-ENERGY-US-WTI","CAN-EXP-ENERGY-US-WTI-CL-IBSJ","VEH-CL","WTI原油","WTI Crude Oil","エネルギー","再構成リスク群","PG-エネルギー","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","CL","NYMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-ENERGY-US-WTI","EXP-ENERGY-US-WTI","EXP-ENERGY-US-WTI","CAN-EXP-ENERGY-US-WTI-MCL-IBSJ","VEH-MCL","WTI原油","WTI Crude Oil","エネルギー","再構成リスク群","PG-エネルギー","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","MCL","NYMEX","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-AGRI-US-CORN","EXP-AGRI-US-CORN","EXP-AGRI-US-CORN","CAN-EXP-AGRI-US-CORN-ZC-IBSJ","VEH-ZC","とうもろこし","Corn","穀物・油糧種子","再構成リスク群","PG-穀物・油糧種子","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","ZC","CBOT","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-AGRI-US-CORN","EXP-AGRI-US-CORN","EXP-AGRI-US-CORN","CAN-EXP-AGRI-US-CORN-XC-IBSJ","VEH-XC","とうもろこし","Corn","穀物・油糧種子","再構成リスク群","PG-穀物・油糧種子","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","XC","CBOT","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-AGRI-US-WHEAT","EXP-AGRI-US-WHEAT","EXP-AGRI-US-WHEAT","CAN-EXP-AGRI-US-WHEAT-ZW-IBSJ","VEH-ZW","小麦","Wheat","穀物・油糧種子","再構成リスク群","PG-穀物・油糧種子","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","ZW","CBOT","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-AGRI-US-WHEAT","EXP-AGRI-US-WHEAT","EXP-AGRI-US-WHEAT","CAN-EXP-AGRI-US-WHEAT-XW-IBSJ","VEH-XW","小麦","Wheat","穀物・油糧種子","再構成リスク群","PG-穀物・油糧種子","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","XW","CBOT","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-AGRI-US-SOYBEANS","EXP-AGRI-US-SOYBEANS","EXP-AGRI-US-SOYBEANS","CAN-EXP-AGRI-US-SOYBEANS-ZS-IBSJ","VEH-ZS","大豆","Soybeans","穀物・油糧種子","再構成リスク群","PG-穀物・油糧種子","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","標準先物","ZS","CBOT","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-AGRI-US-SOYBEANS","EXP-AGRI-US-SOYBEANS","EXP-AGRI-US-SOYBEANS","CAN-EXP-AGRI-US-SOYBEANS-XK-IBSJ","VEH-XK","大豆","Soybeans","穀物・油糧種子","再構成リスク群","PG-穀物・油糧種子","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","マイクロ先物","XK","CBOT","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-CRYPTO-GLOBAL-BTC","EXP-CRYPTO-GLOBAL-BTC","EXP-CRYPTO-GLOBAL-BTC","CAN-EXP-CRYPTO-GLOBAL-BTC-BTC-IBSJ","VEH-BTC","ビットコイン","Bitcoin","暗号資産","再構成リスク群","PG-暗号資産","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","暗号資産先物","BTC","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
"CLU-EXP-CRYPTO-GLOBAL-BTC","EXP-CRYPTO-GLOBAL-BTC","EXP-CRYPTO-GLOBAL-BTC","CAN-EXP-CRYPTO-GLOBAL-BTC-MBT-IBSJ","VEH-MBT","ビットコイン","Bitcoin","暗号資産","再構成リスク群","PG-暗号資産","上場デリバティブ直接取引","P06以降でPrimary/Fallbackを判断","暗号資産先物","MBT","CME","Interactive Brokers Securities Japan Inc.","証拠不足","B","EVD-P04-0001;EVD-P04-0002","契約倍率、証拠金、流動性、データ可否をP06再実行またはP07以降で確認する","候補IDを不変キーとして追跡する","2026-08-02T15:44:17.6495541+09:00","2026-08-02T15:44:17.6495541+09:00"
