"候補ID","エクスポージャーID","取引手段ID","エクスポージャー名_日本語","エクスポージャー名_英語","資産クラス","リスク群","取引手段種別","シンボル","取引所またはVenue","Broker","Long可否","Short可否","API発注可否","API口座照会可否","日本居住者利用可否","取引時間","ティックサイズ","契約倍率","最小数量","受渡リスク","当初証拠金円","維持証拠金円","分足データ可否","リアルタイムデータ可否","証拠信頼度","証拠ID一覧","Gate状態","Gate理由","選定状態","レビューメモ","作成日時","更新日時"
"CAN-EXP-EQ-JP-TOPIX-MTOPIX-IBSJ","EXP-EQ-JP-TOPIX","VEH-MTOPIX","TOPIX","TOPIX","株価指数","再構成リスク群","ミニ先物","MTOPIX","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-EURUSD-6E-IBSJ","EXP-FX-G10-EURUSD","VEH-6E","ユーロ米ドル","EUR/USD","為替","再構成リスク群","標準先物","6E","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-EURUSD-M6E-IBSJ","EXP-FX-G10-EURUSD","VEH-M6E","ユーロ米ドル","EUR/USD","為替","再構成リスク群","マイクロ先物","M6E","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-USDJPY-6J-IBSJ","EXP-FX-G10-USDJPY","VEH-6J","米ドル円","USD/JPY","為替","再構成リスク群","標準先物","6J","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-USDJPY-MJY-IBSJ","EXP-FX-G10-USDJPY","VEH-MJY","米ドル円","USD/JPY","為替","再構成リスク群","マイクロ先物","MJY","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-GBPUSD-6B-IBSJ","EXP-FX-G10-GBPUSD","VEH-6B","英ポンド米ドル","GBP/USD","為替","再構成リスク群","標準先物","6B","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-GBPUSD-M6B-IBSJ","EXP-FX-G10-GBPUSD","VEH-M6B","英ポンド米ドル","GBP/USD","為替","再構成リスク群","マイクロ先物","M6B","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-AUDUSD-6A-IBSJ","EXP-FX-G10-AUDUSD","VEH-6A","豪ドル米ドル","AUD/USD","為替","再構成リスク群","標準先物","6A","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-FX-G10-AUDUSD-M6A-IBSJ","EXP-FX-G10-AUDUSD","VEH-M6A","豪ドル米ドル","AUD/USD","為替","再構成リスク群","マイクロ先物","M6A","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-GLOBAL-GOLD-GC-IBSJ","EXP-METAL-GLOBAL-GOLD","VEH-GC","金","Gold","金属","再構成リスク群","標準先物","GC","COMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-GLOBAL-GOLD-MGC-IBSJ","EXP-METAL-GLOBAL-GOLD","VEH-MGC","金","Gold","金属","再構成リスク群","マイクロ先物","MGC","COMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-GLOBAL-SILVER-SI-IBSJ","EXP-METAL-GLOBAL-SILVER","VEH-SI","銀","Silver","金属","再構成リスク群","標準先物","SI","COMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-GLOBAL-SILVER-SIL-IBSJ","EXP-METAL-GLOBAL-SILVER","VEH-SIL","銀","Silver","金属","再構成リスク群","マイクロ先物","SIL","COMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-GLOBAL-COPPER-HG-IBSJ","EXP-METAL-GLOBAL-COPPER","VEH-HG","銅","Copper","金属","再構成リスク群","標準先物","HG","COMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-GLOBAL-COPPER-MHG-IBSJ","EXP-METAL-GLOBAL-COPPER","VEH-MHG","銅","Copper","金属","再構成リスク群","マイクロ先物","MHG","COMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-JP-GOLD-GOLDSTD-IBSJ","EXP-METAL-JP-GOLD","VEH-GOLDSTD","日本金","Japan Gold","金属","再構成リスク群","標準先物","GOLDSTD","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-JP-GOLD-GOLDMINI-IBSJ","EXP-METAL-JP-GOLD","VEH-GOLDMINI","日本金","Japan Gold","金属","再構成リスク群","ミニ先物","GOLDMINI","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-JP-GOLD-POCKETGOLD100-IBSJ","EXP-METAL-JP-GOLD","VEH-POCKETGOLD100","日本金","Japan Gold","金属","再構成リスク群","マイクロ先物","POCKETGOLD100","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-JP-PLATINUM-PLATSTD-IBSJ","EXP-METAL-JP-PLATINUM","VEH-PLATSTD","日本白金","Japan Platinum","金属","再構成リスク群","標準先物","PLATSTD","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-METAL-JP-PLATINUM-PLATMINI-IBSJ","EXP-METAL-JP-PLATINUM","VEH-PLATMINI","日本白金","Japan Platinum","金属","再構成リスク群","ミニ先物","PLATMINI","OSE","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-ENERGY-US-WTI-CL-IBSJ","EXP-ENERGY-US-WTI","VEH-CL","WTI原油","WTI Crude Oil","エネルギー","再構成リスク群","標準先物","CL","NYMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-ENERGY-US-WTI-MCL-IBSJ","EXP-ENERGY-US-WTI","VEH-MCL","WTI原油","WTI Crude Oil","エネルギー","再構成リスク群","マイクロ先物","MCL","NYMEX","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-AGRI-US-CORN-ZC-IBSJ","EXP-AGRI-US-CORN","VEH-ZC","とうもろこし","Corn","穀物・油糧種子","再構成リスク群","標準先物","ZC","CBOT","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-AGRI-US-CORN-XC-IBSJ","EXP-AGRI-US-CORN","VEH-XC","とうもろこし","Corn","穀物・油糧種子","再構成リスク群","マイクロ先物","XC","CBOT","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-AGRI-US-WHEAT-ZW-IBSJ","EXP-AGRI-US-WHEAT","VEH-ZW","小麦","Wheat","穀物・油糧種子","再構成リスク群","標準先物","ZW","CBOT","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-AGRI-US-WHEAT-XW-IBSJ","EXP-AGRI-US-WHEAT","VEH-XW","小麦","Wheat","穀物・油糧種子","再構成リスク群","マイクロ先物","XW","CBOT","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-AGRI-US-SOYBEANS-ZS-IBSJ","EXP-AGRI-US-SOYBEANS","VEH-ZS","大豆","Soybeans","穀物・油糧種子","再構成リスク群","標準先物","ZS","CBOT","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-AGRI-US-SOYBEANS-XK-IBSJ","EXP-AGRI-US-SOYBEANS","VEH-XK","大豆","Soybeans","穀物・油糧種子","再構成リスク群","マイクロ先物","XK","CBOT","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-CRYPTO-GLOBAL-BTC-BTC-IBSJ","EXP-CRYPTO-GLOBAL-BTC","VEH-BTC","ビットコイン","Bitcoin","暗号資産","再構成リスク群","暗号資産先物","BTC","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-CRYPTO-GLOBAL-BTC-MBT-IBSJ","EXP-CRYPTO-GLOBAL-BTC","VEH-MBT","ビットコイン","Bitcoin","暗号資産","再構成リスク群","暗号資産先物","MBT","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
"CAN-EXP-CRYPTO-GLOBAL-ETH-ETH-IBSJ","EXP-CRYPTO-GLOBAL-ETH","VEH-ETH","イーサリアム","Ether","暗号資産","再構成リスク群","暗号資産先物","ETH","CME","Interactive Brokers Securities Japan Inc.","不明","不明","プラットフォーム確認済み","プラットフォーム確認済み","不明","商品別に要確認","","","","不明","","","不明","不明","B","EVD-P04-0001;EVD-P04-0002","証拠不足","日本居住者利用可否、契約仕様、証拠金、データ費用などの重要証拠が不足しているため保留","保留","日本語化時に再構成。公式証拠で再確認が必要","2026-08-02T15:43:34.5892706+09:00","2026-08-02T15:43:34.5892706+09:00"
