"P13順位","シンボル","元シンボル","エクスポージャー名_日本語","資産クラス","取引手段種別","取引所またはVenue","P08構造スコア","P12監査判定","P13分類","初期検証フラグ","P13判定理由","次フェーズ必須確認"
"11","SIL","SIL","銀","金属","マイクロ先物","COMEX","89","Pending","追加調査候補","いいえ","貴金属かつ産業金属的性格を持つ候補。","公式契約仕様;Databento取得可否;IBKR/IBSJ取扱;証拠金;SIとの比較"
"12","MYM","MYM","米国ダウ工業株指数","株価指数","マイクロ先物","CME","83","注意","追加調査候補","いいえ","米国株指数候補。高相関グループとして扱う。","相関;IBKR/IBSJ取扱;証拠金;MES/MNQ/M2Kとの重複管理"
"13","MNQ","MNQ","米国ナスダック100指数","株価指数","マイクロ先物","CME","83","注意","追加調査候補","いいえ","米国成長株Exposure。トレンド性は期待できるが株価指数集中に注意。","相関;IBKR/IBSJ取扱;証拠金;MES/MYM/M2Kとの重複管理"
"14","M2K","M2K","米国小型株指数","株価指数","マイクロ先物","CME","83","注意","追加調査候補","いいえ","米国小型株Exposure。米国株指数内では差別化候補。","相関;IBKR/IBSJ取扱;証拠金;MES/MNQ/MYMとの重複管理"
"15","MES","MES","米国大型株指数","株価指数","マイクロ先物","CME","83","注意","追加調査候補","いいえ","代表的な米国株指数Exposure。流動性は期待できるが分散価値は限定的。","相関;IBKR/IBSJ取扱;証拠金;MNQ/MYM/M2Kとの重複管理"
"16","CL","CL","WTI原油","エネルギー","標準先物","NYMEX","81","注意","Fallback候補","いいえ","MCLが使えない場合のWTI原油Fallback。小口資金適合性は低い。","MCLとのPrimary/Fallback判断;証拠金;契約倍率"
"17","ZC","ZC","とうもろこし","穀物・油糧種子","標準先物","CBOT","80","注意","Fallback候補","いいえ","MZCの履歴・流動性不足時のFallback。","MZCとの比較;証拠金;契約倍率;Proxyデータ利用可否"
"18","ZS","ZS","大豆","穀物・油糧種子","標準先物","CBOT","80","注意","Fallback候補","いいえ","MZSの履歴・流動性不足時のFallback。","MZSとの比較;証拠金;契約倍率;Proxyデータ利用可否"
"19","ZW","ZW","小麦","穀物・油糧種子","標準先物","CBOT","80","注意","Fallback候補","いいえ","MZWの履歴・流動性不足時のFallback。","MZWとの比較;証拠金;契約倍率;Proxyデータ利用可否"
"20","6A","6A","豪ドル米ドル","為替","標準先物","CME","79","注意","Fallback候補","いいえ","M6AのFallback。標準先物のため小口資金適合性は低い。","M6Aとの比較;証拠金;契約倍率;満期管理"
"21","6E","6E","ユーロ米ドル","為替","標準先物","CME","79","注意","Fallback候補","いいえ","M6EのFallback。","M6Eとの比較;証拠金;契約倍率;満期管理"
"22","6B","6B","英ポンド米ドル","為替","標準先物","CME","79","注意","Fallback候補","いいえ","M6BのFallback。","M6Bとの比較;証拠金;契約倍率;満期管理"
"23","6J","6J","米ドル円","為替","標準先物","CME","79","注意","Fallback候補","いいえ","MJYのFallback。価格表記と証拠金に注意。","MJYとの比較;証拠金;契約倍率;価格表記"
"24","HG","HG","銅","金属","標準先物","COMEX","79","注意","Fallback候補","いいえ","MHGのFallback。","MHGとの比較;証拠金;契約倍率;流動性"
"25","GC","GC","金","金属","標準先物","COMEX","79","注意","Fallback候補","いいえ","MGCのFallback。","MGCとの比較;証拠金;契約倍率;流動性"
"26","SI","SI","銀","金属","標準先物","COMEX","79","注意","Fallback候補","いいえ","SILのFallback。","SILとの比較;証拠金;契約倍率;流動性"
"27","POCKETGOLD100","POCKETGOLD100","日本金","金属","マイクロ先物","OSE","76","P12未監査","追加調査候補","いいえ","暗号資産先物を外した補完候補。国内金Exposureで通貨・市場分散の補完価値がある。","公式契約仕様;IBKR/IBSJ取扱;証拠金;データ取得可否;GOLDMINI/GOLDSTDとの比較"
"28","MINIJGB10Y","MINIJGB10Y","日本10年国債","金利・債券","ミニ先物","OSE","74","P12未監査","追加調査候補","いいえ","暗号資産先物を外した補完候補。P11には不足していた金利・債券Exposureを補う。","公式契約仕様;IBKR/IBSJ取扱;証拠金;流動性;データ取得可否"
"29","FDXM","FDXM","ドイツDAX","株価指数","ミニ先物","EUREX","72","P12未監査","追加調査候補","いいえ","暗号資産先物を外した補完候補。米国株指数偏重を緩和する欧州株式Exposure。","EUREX取引権限;IBKR/IBSJ取扱;証拠金;データ取得可否;取引時間"
"30","NK225MC","NK225MC","日経225","株価指数","マイクロ先物","OSE","69","P12未監査","追加調査候補","いいえ","暗号資産先物を外した補完候補。日本株式Exposureで、ユーザー居住地との実務的親和性が高い。","公式契約仕様;IBKR/IBSJ取扱;証拠金;流動性;データ取得可否"

