"P11順位","候補ID","正規エクスポージャーID","エクスポージャー名_日本語","エクスポージャー名_英語","資産クラス","取引手段種別","元シンボル","P11採用シンボル","取引所またはVenue","Broker","P08構造スコア","P08優先度","採点確信度","初期候補フラグ","P10確認状態","P10データ注意","P11判定理由","P12で確認する証拠"
"11","CAN-EXP-METAL-GLOBAL-SILVER-SIL-IBSJ","EXP-METAL-GLOBAL-SILVER","銀","Silver","金属","マイクロ先物","SIL","SIL","COMEX","Interactive Brokers Securities Japan Inc.","89","優先A","中","いいえ","P10未確認","P10では未取得。","貴金属かつ産業金属的な性格を持つExposure。分散候補として保持する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"12","CAN-EXP-EQ-US-DOW-MYM-IBSJ","EXP-EQ-US-DOW","米国ダウ工業株指数","Dow Jones","株価指数","マイクロ先物","MYM","MYM","CME","Interactive Brokers Securities Japan Inc.","83","優先A","中","いいえ","P10未確認","P10では未取得。","米国株指数Exposure。分散価値は商品・為替より低めだが、執行・流動性とデータ面で扱いやすい。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"13","CAN-EXP-EQ-US-NASDAQ100-MNQ-IBSJ","EXP-EQ-US-NASDAQ100","米国ナスダック100指数","Nasdaq 100","株価指数","マイクロ先物","MNQ","MNQ","CME","Interactive Brokers Securities Japan Inc.","83","優先A","中","いいえ","P10未確認","P10では未取得。","米国成長株Exposure。トレンドは出やすい可能性があるが、米国株指数同士の相関に注意。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"14","CAN-EXP-EQ-US-RUSSELL2000-M2K-IBSJ","EXP-EQ-US-RUSSELL2000","米国小型株指数","Russell 2000","株価指数","マイクロ先物","M2K","M2K","CME","Interactive Brokers Securities Japan Inc.","83","優先A","中","いいえ","P10未確認","P10では未取得。","米国小型株Exposure。S&P500やNasdaq100との相関を確認したうえで分散候補として扱う。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"15","CAN-EXP-EQ-US-SP500-MES-IBSJ","EXP-EQ-US-SP500","米国大型株指数","S&P 500","株価指数","マイクロ先物","MES","MES","CME","Interactive Brokers Securities Japan Inc.","83","優先A","中","いいえ","P10未確認","P10では未取得。","最も代表的な米国株指数Exposure。流動性とデータ面で扱いやすいが、分散価値は限定的。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;出来高;スプレッド"
"16","CAN-EXP-ENERGY-US-WTI-CL-IBSJ","EXP-ENERGY-US-WTI","WTI原油","WTI Crude Oil","エネルギー","標準先物","CL","CL","NYMEX","Interactive Brokers Securities Japan Inc.","81","優先B","中","いいえ","P10未確認","P10では未取得。MCLのFallback候補。","WTI原油Exposureの標準先物。流動性は高いが小口資金適合性はMCLより低い。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MCLとの使い分け"
"17","CAN-EXP-AGRI-US-CORN-ZC-IBSJ","EXP-AGRI-US-CORN","とうもろこし","Corn","穀物・油糧種子","標準先物","ZC","ZC","CBOT","Interactive Brokers Securities Japan Inc.","80","優先B","中","いいえ","P10未確認","P10では未取得。MZCのFallback候補。","とうもろこしExposureの標準先物。Micro版の履歴・流動性不足時のFallbackとして保持する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MZCとの使い分け"
"18","CAN-EXP-AGRI-US-SOYBEANS-ZS-IBSJ","EXP-AGRI-US-SOYBEANS","大豆","Soybeans","穀物・油糧種子","標準先物","ZS","ZS","CBOT","Interactive Brokers Securities Japan Inc.","80","優先B","中","いいえ","P10未確認","P10では未取得。MZSのFallback候補。","大豆Exposureの標準先物。Micro版の履歴・流動性不足時のFallbackとして保持する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MZSとの使い分け"
"19","CAN-EXP-AGRI-US-WHEAT-ZW-IBSJ","EXP-AGRI-US-WHEAT","小麦","Wheat","穀物・油糧種子","標準先物","ZW","ZW","CBOT","Interactive Brokers Securities Japan Inc.","80","優先B","中","いいえ","P10未確認","P10では未取得。MZWのFallback候補。","小麦Exposureの標準先物。Micro版の履歴・流動性不足時のFallbackとして保持する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MZWとの使い分け"
"20","CAN-EXP-FX-G10-AUDUSD-6A-IBSJ","EXP-FX-G10-AUDUSD","豪ドル米ドル","AUD/USD","為替","標準先物","6A","6A","CME","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。M6AのFallback候補。","AUD/USD Exposureの標準先物。M6Aより小口資金適合性は低いが流動性Fallbackとして保持する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;M6Aとの使い分け"
"21","CAN-EXP-FX-G10-EURUSD-6E-IBSJ","EXP-FX-G10-EURUSD","ユーロ米ドル","EUR/USD","為替","標準先物","6E","6E","CME","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。M6EのFallback候補。","EUR/USD Exposureの標準先物。マイクロ版との流動性・証拠金比較が必要。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;M6Eとの使い分け"
"22","CAN-EXP-FX-G10-GBPUSD-6B-IBSJ","EXP-FX-G10-GBPUSD","英ポンド米ドル","GBP/USD","為替","標準先物","6B","6B","CME","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。M6BのFallback候補。","GBP/USD Exposureの標準先物。マイクロ版との流動性・証拠金比較が必要。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;M6Bとの使い分け"
"23","CAN-EXP-FX-G10-USDJPY-6J-IBSJ","EXP-FX-G10-USDJPY","米ドル円","USD/JPY","為替","標準先物","6J","6J","CME","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。MJYのFallback候補。","USD/JPY Exposureの標準先物。マイクロ版との流動性・証拠金比較が必要。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MJYとの使い分け"
"24","CAN-EXP-METAL-GLOBAL-COPPER-HG-IBSJ","EXP-METAL-GLOBAL-COPPER","銅","Copper","金属","標準先物","HG","HG","COMEX","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。MHGのFallback候補。","銅Exposureの標準先物。Micro版との流動性・証拠金比較が必要。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MHGとの使い分け"
"25","CAN-EXP-METAL-GLOBAL-GOLD-GC-IBSJ","EXP-METAL-GLOBAL-GOLD","金","Gold","金属","標準先物","GC","GC","COMEX","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。MGCのFallback候補。","金Exposureの標準先物。Micro版との流動性・証拠金比較が必要。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;MGCとの使い分け"
"26","CAN-EXP-METAL-GLOBAL-SILVER-SI-IBSJ","EXP-METAL-GLOBAL-SILVER","銀","Silver","金属","標準先物","SI","SI","COMEX","Interactive Brokers Securities Japan Inc.","79","優先B","中","いいえ","P10未確認","P10では未取得。SILのFallback候補。","銀Exposureの標準先物。Micro版との流動性・証拠金比較が必要。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;SILとの使い分け"
"27","CAN-EXP-CRYPTO-GLOBAL-BTC-BTC-IBSJ","EXP-CRYPTO-GLOBAL-BTC","ビットコイン","Bitcoin","暗号資産","暗号資産先物","BTC","BTC","CME","Interactive Brokers Securities Japan Inc.","78","優先B","中","いいえ","P10未確認","P10では未取得。","暗号資産先物Exposure。トレンド性は期待できるが、変動率・証拠金・規制・日本居住者取扱を重点確認する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;変動率;取引制限"
"28","CAN-EXP-CRYPTO-GLOBAL-BTC-MBT-IBSJ","EXP-CRYPTO-GLOBAL-BTC","ビットコイン","Bitcoin","暗号資産","暗号資産先物","MBT","MBT","CME","Interactive Brokers Securities Japan Inc.","78","優先B","中","いいえ","P10未確認","P10では未取得。","Bitcoinの小口向け先物候補。標準BTCより資金適合性が高い可能性がある。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;BTCとの使い分け"
"29","CAN-EXP-CRYPTO-GLOBAL-ETH-ETH-IBSJ","EXP-CRYPTO-GLOBAL-ETH","イーサリアム","Ether","暗号資産","暗号資産先物","ETH","ETH","CME","Interactive Brokers Securities Japan Inc.","78","優先B","中","いいえ","P10未確認","P10では未取得。","Ether Exposure。Bitcoinとは異なる暗号資産Exposureとして保持するが、規制・変動率・証拠金を重点確認する。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;変動率;取引制限"
"30","CAN-EXP-CRYPTO-GLOBAL-ETH-MET-IBSJ","EXP-CRYPTO-GLOBAL-ETH","イーサリアム","Ether","暗号資産","暗号資産先物","MET","MET","CME","Interactive Brokers Securities Japan Inc.","78","優先B","中","いいえ","P10未確認","P10では未取得。","Etherの小口向け先物候補。標準ETHより資金適合性が高い可能性がある。","Databento取得可否;日本居住者の銘柄単位取引可否;証拠金;契約倍率;最小数量;ETHとの使い分け"

